NP, frequency, FileName
데이터,84,/mnt/hgfs/share/Final_Report.pdf
전력,48,/mnt/hgfs/share/Final_Report.pdf
연구,47,/mnt/hgfs/share/Final_Report.pdf
네트워크,47,/mnt/hgfs/share/Final_Report.pdf
프로토콜,37,/mnt/hgfs/share/Final_Report.pdf
전송,36,/mnt/hgfs/share/Final_Report.pdf
효율,33,/mnt/hgfs/share/Final_Report.pdf
사용,33,/mnt/hgfs/share/Final_Report.pdf
수,32,/mnt/hgfs/share/Final_Report.pdf
패킷,27,/mnt/hgfs/share/Final_Report.pdf
노드,25,/mnt/hgfs/share/Final_Report.pdf
구현,25,/mnt/hgfs/share/Final_Report.pdf
때,23,/mnt/hgfs/share/Final_Report.pdf
환경,22,/mnt/hgfs/share/Final_Report.pdf
것,21,/mnt/hgfs/share/Final_Report.pdf
의,21,/mnt/hgfs/share/Final_Report.pdf
임베디드,19,/mnt/hgfs/share/Final_Report.pdf
계층,19,/mnt/hgfs/share/Final_Report.pdf
무선,19,/mnt/hgfs/share/Final_Report.pdf
기반,18,/mnt/hgfs/share/Final_Report.pdf
때문,15,/mnt/hgfs/share/Final_Report.pdf
을,15,/mnt/hgfs/share/Final_Report.pdf
주도,14,/mnt/hgfs/share/Final_Report.pdf
자기,14,/mnt/hgfs/share/Final_Report.pdf
중간,14,/mnt/hgfs/share/Final_Report.pdf
보드,13,/mnt/hgfs/share/Final_Report.pdf
면,11,/mnt/hgfs/share/Final_Report.pdf
과,11,/mnt/hgfs/share/Final_Report.pdf
기존,10,/mnt/hgfs/share/Final_Report.pdf
시간,10,/mnt/hgfs/share/Final_Report.pdf
동시,10,/mnt/hgfs/share/Final_Report.pdf
로,9,/mnt/hgfs/share/Final_Report.pdf
발생,9,/mnt/hgfs/share/Final_Report.pdf
그림,8,/mnt/hgfs/share/Final_Report.pdf
상황,8,/mnt/hgfs/share/Final_Report.pdf
수행,8,/mnt/hgfs/share/Final_Report.pdf
상위,8,/mnt/hgfs/share/Final_Report.pdf
문제,8,/mnt/hgfs/share/Final_Report.pdf
방식,8,/mnt/hgfs/share/Final_Report.pdf
존재,8,/mnt/hgfs/share/Final_Report.pdf
기법,7,/mnt/hgfs/share/Final_Report.pdf
필요,7,/mnt/hgfs/share/Final_Report.pdf
알고리즘,7,/mnt/hgfs/share/Final_Report.pdf
낭비,7,/mnt/hgfs/share/Final_Report.pdf
분석,7,/mnt/hgfs/share/Final_Report.pdf
결과,7,/mnt/hgfs/share/Final_Report.pdf
아래,7,/mnt/hgfs/share/Final_Report.pdf
개발,6,/mnt/hgfs/share/Final_Report.pdf
부분,6,/mnt/hgfs/share/Final_Report.pdf
성능,6,/mnt/hgfs/share/Final_Report.pdf
구조,6,/mnt/hgfs/share/Final_Report.pdf
하드웨어,5,/mnt/hgfs/share/Final_Report.pdf
유선,5,/mnt/hgfs/share/Final_Report.pdf
운용,5,/mnt/hgfs/share/Final_Report.pdf
일정,5,/mnt/hgfs/share/Final_Report.pdf
설계,5,/mnt/hgfs/share/Final_Report.pdf
후,5,/mnt/hgfs/share/Final_Report.pdf
구축,5,/mnt/hgfs/share/Final_Report.pdf
적용,5,/mnt/hgfs/share/Final_Report.pdf
조정,5,/mnt/hgfs/share/Final_Report.pdf
연결,5,/mnt/hgfs/share/Final_Report.pdf
수집,5,/mnt/hgfs/share/Final_Report.pdf
이후,5,/mnt/hgfs/share/Final_Report.pdf
방법,5,/mnt/hgfs/share/Final_Report.pdf
주기,5,/mnt/hgfs/share/Final_Report.pdf
진행,5,/mnt/hgfs/share/Final_Report.pdf
목표,5,/mnt/hgfs/share/Final_Report.pdf
예,4,/mnt/hgfs/share/Final_Report.pdf
위,4,/mnt/hgfs/share/Final_Report.pdf
횟수,4,/mnt/hgfs/share/Final_Report.pdf
경우,4,/mnt/hgfs/share/Final_Report.pdf
중,4,/mnt/hgfs/share/Final_Report.pdf
동안,4,/mnt/hgfs/share/Final_Report.pdf
코드,4,/mnt/hgfs/share/Final_Report.pdf
지진,4,/mnt/hgfs/share/Final_Report.pdf
라디오,4,/mnt/hgfs/share/Final_Report.pdf
통신,4,/mnt/hgfs/share/Final_Report.pdf
데,4,/mnt/hgfs/share/Final_Report.pdf
레벨,4,/mnt/hgfs/share/Final_Report.pdf
교환,4,/mnt/hgfs/share/Final_Report.pdf
간,3,/mnt/hgfs/share/Final_Report.pdf
개,3,/mnt/hgfs/share/Final_Report.pdf
제안,3,/mnt/hgfs/share/Final_Report.pdf
설치,3,/mnt/hgfs/share/Final_Report.pdf
차이점,3,/mnt/hgfs/share/Final_Report.pdf
기본,3,/mnt/hgfs/share/Final_Report.pdf
번,3,/mnt/hgfs/share/Final_Report.pdf
관리,3,/mnt/hgfs/share/Final_Report.pdf
이유,3,/mnt/hgfs/share/Final_Report.pdf
효과,3,/mnt/hgfs/share/Final_Report.pdf
소프트웨어,3,/mnt/hgfs/share/Final_Report.pdf
전체,3,/mnt/hgfs/share/Final_Report.pdf
결합,3,/mnt/hgfs/share/Final_Report.pdf
라우터,3,/mnt/hgfs/share/Final_Report.pdf
보완,3,/mnt/hgfs/share/Final_Report.pdf
핵심,3,/mnt/hgfs/share/Final_Report.pdf
실제,3,/mnt/hgfs/share/Final_Report.pdf
확인,3,/mnt/hgfs/share/Final_Report.pdf
말,3,/mnt/hgfs/share/Final_Report.pdf
전달,3,/mnt/hgfs/share/Final_Report.pdf
실행,3,/mnt/hgfs/share/Final_Report.pdf
해결,3,/mnt/hgfs/share/Final_Report.pdf
변경,3,/mnt/hgfs/share/Final_Report.pdf
조사,3,/mnt/hgfs/share/Final_Report.pdf
점,2,/mnt/hgfs/share/Final_Report.pdf
응용,2,/mnt/hgfs/share/Final_Report.pdf
지역,2,/mnt/hgfs/share/Final_Report.pdf
함수,2,/mnt/hgfs/share/Final_Report.pdf
제일,2,/mnt/hgfs/share/Final_Report.pdf
기술,2,/mnt/hgfs/share/Final_Report.pdf
배경,2,/mnt/hgfs/share/Final_Report.pdf
클라이언트,2,/mnt/hgfs/share/Final_Report.pdf
버튼,2,/mnt/hgfs/share/Final_Report.pdf
참고,2,/mnt/hgfs/share/Final_Report.pdf
빈도수,2,/mnt/hgfs/share/Final_Report.pdf
자신,2,/mnt/hgfs/share/Final_Report.pdf
수신자,2,/mnt/hgfs/share/Final_Report.pdf
결론,2,/mnt/hgfs/share/Final_Report.pdf
크기,2,/mnt/hgfs/share/Final_Report.pdf
구성,2,/mnt/hgfs/share/Final_Report.pdf
자료,2,/mnt/hgfs/share/Final_Report.pdf
이동,2,/mnt/hgfs/share/Final_Report.pdf
메세지,2,/mnt/hgfs/share/Final_Report.pdf
정의,2,/mnt/hgfs/share/Final_Report.pdf
계속,2,/mnt/hgfs/share/Final_Report.pdf
제어,2,/mnt/hgfs/share/Final_Report.pdf
선행,2,/mnt/hgfs/share/Final_Report.pdf
절약,2,/mnt/hgfs/share/Final_Report.pdf
한정,2,/mnt/hgfs/share/Final_Report.pdf
줄,2,/mnt/hgfs/share/Final_Report.pdf
